lastname,firstname,section,affiliation,position,degree,website,image
Davatzikos,Christos,leadership,University of Pennsylvania,"AI2D Director<br>Wallace T. Miller Sr. Professor of Radiology, & Electrical and Systems Engineering",n/a,https://www.med.upenn.edu/cbica/christos/,/assets/images/team/christos-davatzikos.jpg
Satterthwaite,Ted,leadership,University of Pennsylvania,McLure II Professor of Psychiatry & Behavioral Research,n/a,https://pennlinc.io,/assets/images/team/ted-satterthwaite.jpg
Tong,Tien,pennlinc,University of Pennsylvania,Neuroinformatics Data Manager,n/a,https://www.linkedin.com/in/tien-tong-2b648a208/,/assets/images/team/tien-tong.jpg
Cieslak,Matt,pennlinc,University of Pennsylvania,Director of Neuroinformatics,n/a,https://www.linkedin.com/in/matthew-cieslak-phd-62331614a/,/assets/images/team/matthew-cieslak.jpg
Salo,Taylor,pennlinc,University of Pennsylvania,Senior Software Engineer,n/a,https://tsalo.github.io/,/assets/images/team/taylor-salo.jpg
Meisler,Steven,pennlinc,University of Pennsylvania,Postdoctoral Fellow,n/a,https://www.stevenmeisler.com/,/assets/images/team/steven-meisler.jpg
Shinohara,Russell,advisory,University of Pennsylvania,"Professor of Biostatistics<br>Deputy Director, Biostatistics",n/a,https://dbei.med.upenn.edu/staff/russell-t-shinohara-phd/,/assets/images/team/russell-shinohara.jpg
Nasrallah, Ilya,advisory,University of Pennsylvania,Associate Professor of Radiology,n/a,https://www.med.upenn.edu/apps/faculty/index.php/g275/p9094/,/assets/images/team/ilya-nasrallah.jpg
Erus,Guray,aibil,University of Pennsylvania,Research Director,n/a,https://www.med.upenn.edu/cbica/aibil/gerus.html/,/assets/images/team/guray-erus.jpg
Chin,David,aibil,University of Pennsylvania,IT Director,n/a,https://www.linkedin.com/in/davidwhchin/,/assets/images/team/david-chin.jpg
Ibrahim,Tammer,aibil,University of Pennsylvania,IT Technical Director,n/a,https://aibil.med.upenn.edu/people/tammer-ibrahim/,/assets/images/team/tammer-ibrahim.jpg
